,city,state,date_time,shape,duration,stats,text,city_latitude,city_longitude,month,season
99103,Puyallup,WA,2014-11-07T16:30:00,disk,5 minutes,"Occurred : 11/7/2014 16:30  (Entered as : 11/07/14 16:30) Reported: 11/8/2014 1:09:00 AM 01:09 Posted: 11/14/2014 Location: Puyallup/South Hill, WA Shape: Disk Duration: 5 minutes Characteristics: There were lights on the object, There were aircraft in the vicinity or aircraft chasing the object",Looked as if it were floating and spinning as it turned one side of it had a row of white lights was moving tward Mt. Rainier.  After it got further away it held still then vanished.,47.149114814814816,-122.28930879629628,11,Fall
125489,Port Saint Lucie,FL,2020-04-29T21:40:00,oval,30 seconds,"Occurred : 4/29/2020 21:40  (Entered as : 04/29/20 21:40) Reported: 4/29/2020 7:07:10 PM 19:07 Posted: 6/25/2020 Location: Port Saint Lucie, FL Shape: Oval Duration: 30 seconds","Several lights in a straight line and then disappearing above the stars. 
 
My spouse and I were walking our dog (heading North).  We both happen to look up and see 5 stars appearing to be in a straight line.  But, upon looking closer, 3 were heading straight upward.  The 2 remaining lights were stars and stayed in one place. 
 
 There was some distance between each one.  As they went up, much higher than any plane/jet, each one disappeared in the exact same location as the one in front of it.  There were no clouds in that direction.  We know that because the 2 remaining stars continued to remain bright and in one place.  NOTE:  Absolutely no sounds.  But, perhaps they were too high to be heard???  I'm certain that I saw 3 possibly 4.  My spouse is absolutely certain that there were 4.  They were too close to be satellites.  Also, they were heading upward which makes it highly unlikely that they were meteors.  It was the most unusual thing I've ever seen in the sky.",27.28487070938215,-80.36743913043478,04,Spring
79704,Oxnard,CA,2012-07-24T22:30:00,light,1 minute,"Occurred : 7/24/2012 22:30  (Entered as : 07/24/12 22:30) Reported: 7/24/2012 11:23:41 PM 23:23 Posted: 8/5/2012 Location: Oxnard, CA Shape: Light Duration: 1 minute","At aprx 10:30pm I was sitting in my patio looking at the night sky facing east it was clear out and I notice that what I thought was two stars where actually two lights moving slow in tandem from south to north  I don’t think they were satellites because they too close but you never know. 
 
 
((NUFORC Note:  Satellites are often seen in proximity to one another in the nighttime sky.  PD))",34.20733341404358,-119.18185460048429,07,Summer
6836,Lisle,IL,2019-12-22T18:32:00,sphere,8 minutes,"Occurred : 12/22/2019 18:32  (Entered as : 12/22/19 18:32) Reported: 12/22/2019 5:24:03 PM 17:24 Posted: 12/22/2019 Location: Lisle, IL Shape: Sphere Duration: 8 minutes Characteristics: There were lights on the object","Line of 8 to 10 spheres, star sized lights traveling southwest to northeast across the horizon, perfect line and distance between each 
 
My wife and I were out walking the dog tonight at 6:30 PM, 18:30 hours when we looked to the southwest, a line of lights we’re moving in the sky, perfectly spaced distance between them, and going to the northeast. I have watched the International Space Station travel overhead many times which is approximately 250 miles above in orbit. Theses objects appeared much higher up, the same size as stars, traveling in a straight line, at least eight of them stretched halfway across the horizon and traveled perfectly spaced apart to the northeast. It was stunning to see these objects, they looked like a whole new constellation of perfectly aligned stars, only they were moving fast inline. 
 
The objects travel across the horizon for about 10 minuets, continuing northeast until we lost sight of them. 
 
",41.7888,-88.0916,12,Winter
108692,Philadelphia,PA,2016-06-03T22:30:00,light,2 minutes,"Occurred : 6/3/2016 22:30  (Entered as : 06/03 22:30) Reported: 6/5/2016 6:54:36 PM 18:54 Posted: 6/10/2016 Location: Philadelphia, PA Shape: Light Duration: 2 minutes","Bright red/orange non pulsing lights observed over metropolitan area. 
 
Three very bright red/orange non pulsing lights observed over Northeast section of city 15 miles north of airport.  Two lights flew slowly in formation, rear light at about 4 o'clock position.  Third light circled first observed lateral to the two circled behind and disappeared.  Two lights tracked until they disappeared in clouds (clouds at about 5000 ft.)   One light may have had purplish non-pulsing light in center.  Lights were too bright to be navigation lights and wrong color for anti-collision strobes.",39.99040941529236,-75.15250992503748,06,Summer
71071,Omaha,NE,2011-07-04T22:00:00,circle,10 minutes,"Occurred : 7/4/2011 22:00  (Entered as : 07/04/11 22:00) Reported: 8/10/2011 8:11:18 PM 20:11 Posted: 8/21/2011 Location: Omaha, NE Shape: Circle Duration: 10 minutes Characteristics: There were lights on the object","The object was moving abnormally, with orange rectangular lights around the sides of it that went dim and then very bright. 
 
When my girlfriend and i were out on her third floor apartment balcony watching fireworks on the horizon, we noticed a circular object fly into view, moving back and forth, then stopping, hovering, high above the interstate, then moving away and disappearing very quickly. 
 
About 5 minutes later, it reappeared, moving back and forth, then hovering for approximately 10 minutes above the same part of the interstate before quickly disappearing into the sky.   
 
The object had rectangular orange lights around the sides of it, moving in a circular motion, that appeared to go dim and then very bright, almost looking like an orange star.  
 
We had a chance to examine it enough that there were no red blinking or white lights on it, as we normally see on a helicopter or airplane, it was flying much lower than airplanes we had previously seen flying over this area, and it wasn't moving in a way a helicopter would, as in circling an area.",41.249867838765006,-96.03637804459692,07,Summer
139149,Owasso,OK,2022-01-31T18:50:00,light,5 minutes,"Occurred : 1/31/2022 18:50  (Entered as : 01/31/2022 6:50 PM) Reported: 2/1/2022 8:49:45 AM 08:49 Posted: 3/4/2022 Location: Owasso, OK Shape: Light Duration: 5 minutes Characteristics: There was an aura or haze around the object","Moving point of light (a satellite?) surrounded by a spiral shaped haze in an otherwise crystal clear night 
 
Monday Jan 31 appx 6:50pm cst with clear skies. I walked outside and looked into the sky. To the North I noticed a point of white light high in the sky moving to the SSW. I assumed it was a satellite as I could not detect any flashing lights. I see lots of satellites. The only reason I took notice is that it seemed to be passing through a haze, like a fog or a wispy cloud. All of the other stars in the sky were crisp and clear. I thought that the “cloud” must be a rogue and the satellite would quickly pass through it and become “crisp and clear” as well. 
I was facing to the west and the object was high in the sky (maybe 15-20 degrees west of my zenith) and passed from my right to my left. It never escaped the haze. In fact as it got more overhead I could see that the “cloud” was in the form of a spiral around the object, a two-armed spiral with each arm curling away from the object on opposite sides. From end to end it took up maybe 20 degrees of the sky.The spiral cloud was not very thick but was definitely noticeable and undeniably in a spiral shape. The spiral cloud did NOT seem to be rotating in any way. It just moved along with the object. And if not for the hazy spiral the object and my sighting of it would have been nothing out of the ordinary. The object and the haze around it continued on it’s path until it moved into the city glow on my SSW horizon. 
 
When I first saw the object and realized it was something out of the ordinary so I ran back into the house and grabbed my phone/camera and called for my wife to come and see it. She has seen many satellites as well and she confirmed that the object did have the hazy spiral surrounding it. I tried to take a video of the object but my phone camera is not very good nor am I at using it.",36.2862,-95.8227,01,Winter
122967,Lake Placid,FL,2018-09-06T22:00:00,other,2 hours,"Occurred : 9/6/2018 22:00  (Entered as : 09/06/18 22:00) Reported: 9/16/2018 7:53:34 AM 07:53 Posted: 9/27/2018 Location: Lake Placid, FL Shape: Other Duration: 2 hours Characteristics: There were lights on the object","Dozens of bright lights shooting all over sky, Plus 2 Very Large craft flying directly at us. 
 
My boyfriend and I took the pontoon boat out on the lake to enjoy the sunset, as we often do. 
 
It was a fabulous sunset and we stayed to watch all the beautiful after glow.  The stars started coming out and the sky cleared.  We were picking out constellations when I saw a star shoot across the sky.  Then I saw another one.  My boyfriend started seeing stars shooting all over the sky.  He recalls seeing 30 to 40 of them at a time.  I remember seeing 10 or 12 at a time.  We were amazed and thrilled at the sight.  I was so happy because, even though I have spent hundreds of nights sleeping out under the open sky, I had never seen a UFO.  We could hear, but not see one lone jet flying round the area. 
 
Then, about 1000 feet of the stern of the boat, we saw looked like a huge (300' across?) plane shaped object bearing down on us about 100 feet off the water.  It had very bright yellow orange lights.  A big one in the center and decreasingly smaller lights going out the ends of the object.  It was speeding and descending directly at us.  Totally silent.   My boyfriend got a very short video but it is not very good.  I can't believe that I was laughing!  But it is on the video.  Then it just disappeared into thin air.  Poof!  It was gone.  It seems strange, but neither one of us seemed to be frightened at all.   It was all just so awesome and thrilling. 
 
 We decided to stay out and keep star gazing.  About 15 minutes passed then an object just like the first one, but about twice as large, started to bare down on us.  Same as the first but more lights.  It too just disappeared.  We stayed out another half hour, then decided to go home.  I hesitate to tell the following, because it makes my account seem unbelievable, but I want to report it all. 
 
 As we were stepping of the pontoon boat, from my boyfriends phone in his pocket we heard a computerized female voice saying random numbers and letters.  Something like: M R 5 V 8 M K 3 Y R B 2.  The phone had not rung.  And there is no record of it on his phone. 
 
 We went home and went to sleep like nothing had happened. 
 
 The next morning I couldn't stop thinking about it, and I thought it was very odd that I wasn't freaking out.  It was like I had seen a fabulous movie or gone on really wild carnival ride.  I didn't take my shower till noon because I had yard work to do in the morning.  When I went to blow dry my hair, I looked at my eyes in the mirror and I saw terror looking back at me.  And that freaked me out.  I am thinking that my conscious mind is protecting me from going crazy.  But my subconscious knows. 
 
 Days passed and the thought occurred to me that those huge objects created no waves on our shallow lake.  Normally even a small fishing boat will far away will create waves.  I'm thinking that those objects were holograms.  My boyfriend thinks that they were real because hovercrafts don't make a wake.  I just don't know. 
 
I'll try to figure out how to send you the video from my boyfriends phone.",27.297,-81.3647,09,Fall
123744,Houston,TX,2018-09-24T22:50:00,triangle,1 minute,"Occurred : 9/24/2018 22:50  (Entered as : 09/24/218 22:50) Reported: 9/24/2018 9:18:44 PM 21:18 Posted: 9/27/2018 Location: Houston, TX Shape: Triangle Duration: 1 minute Characteristics: There were lights on the object","Black isosceles triangle with six large, faded lights around the inside of its outline and the inside of all three corners and another said light in the center.  Smaller isosceles triangle outline closing off center light from other lights.  Hard to discern because color almost matched with sky in nighttime, and distance from Earth’s surface gave appearance of size of small vending machine toy.",29.782476507000737,-95.44062368459838,09,Fall
89850,Cape Girardeau,MO,2013-01-08T17:00:00,cigar,3 minutes,"Occurred : 1/8/2013 17:00  (Entered as : 010813 17:00) Reported: 1/8/2013 4:16:13 PM 16:16 Posted: 2/4/2013 Location: Cape Girardeau, MO Shape: Cigar Duration: 3 minutes Characteristics: There were lights on the object","Strange Sight About Cape 
 
My boyfriend called me and asked me to go look at the north sky.  As I did i seen a oblong shaped crafts in the air just hoovering there.  It had 3 blinking lights 2 white ones 1 blue one. Then after a few moments it just disappeared.",37.306219839142095,-89.52392949061661,01,Winter
94513,Orlando,FL,2014-04-06T00:15:00,formation,5 minutes,"Occurred : 4/6/2014 00:15  (Entered as : 04/06/14 00:15) Reported: 4/5/2014 10:22:04 PM 22:22 Posted: 4/11/2014 Location: Orlando, FL Shape: Formation Duration: 5 minutes Characteristics: There were lights on the object, There was an aura or haze around the object","RAPIDLY MOVING RED LIGHTS IN FORMATION OVER ORLANDO, FL 
 
AT 0015hrs ON 06 APR 2014, I STEPPED OUTSIDE FACING SOUTHWEST, AND NOTICED THREE (3) LARGE RED LIGHTS IN FORMATION BEHIND THE TREES AT MY NEIGHBOR'S HOUSE ACROSS THE STREET.  AS I CONTINUED TO OBSERVE THE FORMATION, FOUR (4) SIMILAR OBJECTS APPEARED IN FORMATION AS WELL, RISING UP FROM BEHIND THE TREES.  THE SEVEN (7) OBJECTS WERE TRAVELING IN A NORTHERLY DIRECTION BELOW THE CLOUD DECK AT A RAPID SPEED. 
 
I IMMEDIATELY BEGAN FILMING THE OBJECTS AND THE FORMATION.  AT THE 0:48 SECOND MARK, I KNOCKED ON MY 18 YEAR OLD SON'S WINDOW TO HAVE HIM COME OUT AND WITNESS THE EVENT.  AS THE FORMATION CONTINUED TO TRAVEL NORTH, THE OBJECTS BEGAN TO FADE OUT ONE BY ONE AS THEY CLIMBED INTO THE CLOUD DECK, WITH THE EXCEPTION OF ONE, WHICH WE OBSERVED FOR SEVERAL MORE MINUTES.  DURING THE ENTIRETY OF THE EVENT, THE OBJECTS WERE SILENT AND LEFT NO VISIBLE TRAIL. 
 
NOTE 1:  AFTER THE INCIDENT CONCLUDED, I CALLED THE WEATHER REPORTING STATION AT ORLANDO EXECUTIVE AIRPORT [KORL] FOR A WEATHER CHECK, AND THEY REPORTED SKIES CLEAR, NO MENTION OF THE CLOUD DECK I AND MY WITNESS OBSERVED. 
 
NOTE 2:  I AM AN ENVIRONMENTAL ENGINEER AND I AM A FORMER RESERVE DEPUTY SHERIFF IN CENTRAL FLORIDA, WITH A PRIVATE PILOT'S LICENSE AND EXTENSIVE MILITARY & CIVILIAN AVIATION EXPERIENCE. 
 
 
((NUFORC Note:  We spoke via telephone with the witness, and found him to be exceptionally eloquent and objective in his description of the sighting.  We suspect that he is a superlative witness.  PD)) 
 
 
((ADDENDUM #1 FROM WITNESS)) 
 
FOLLOW-ON REPORT OF INITIAL SIGHTING ON 06 APR 14 REPORTING WX CONDITIONS: 
 
KORL ASOS (407.658.6753) REPORTED CLEAR SKIES AND WINDS AT 28 FROM 280 AT APPROX 0020 WHEN I CALLED. 
 
((END ADDENDUM #1)) 
 
 
((ADDENDUM #2 FROM WITNESS)) 
 
Mr. Davenport, 
 
As discussed in our phone call yesterday afternoon, I have created a link to the video I shot of the objects observed near my home in SW Orlando, FL, on SUN, 06 APR, 2014.  Link below: 
 
https://www.dropbox.com/s/g6f0z5hf4l7rn7n/LIGHTS%2006%20APR%202014.wmv  
 
Regards,  ((name deleted)) 
 
((END ADDENDUM #2))",28.51220019430052,-81.37852415803108,04,Spring
83901,Spokane,WA,2013-07-05T22:25:00,fireball,1-2 minutes,"Occurred : 7/5/2013 22:25  (Entered as : 07/05/13 22:25) Reported: 7/25/2013 6:10:26 PM 18:10 Posted: 8/30/2013 Location: Spokane, WA Shape: Fireball Duration: 1-2 minutes Characteristics: There was an aura or haze around the object","Nighttime fireball on July 5 
 
Driving to work at night when I saw this object.  Pulled off arterial onto side street to watch it pass overhead.  Saw what appeared to be an orange light approximately 1000 ft above ground travelling in a northeast direction.  Appeared to travel nearly as fast as an airplane, but made now sound.  Looked like a fireball when directly overhead.  Continued for another 30 seconds or so in same direction then disappeared out of sight. 
 
 
((NUFORC Note:  Witness elects to remain totally anonymous; provides little contact information.  PD))",47.67811627329193,-117.38344844720498,07,Summer
136244,Ames,IA,2020-09-01T03:00:00,light,2 seconds,"Occurred : 9/1/2020 03:00  (Entered as : 09/01/20 3:00) Reported: 9/1/2020 1:48:02 AM 01:48 Posted: 9/4/2020 Location: Ames, IA Shape: Light Duration: 2 seconds Characteristics: There were lights on the object, There was an aura or haze around the object, The object changed color, Entities were seen","Light in sky defying gravity and disappearing in rural Iowa 
 
There was a light floating in the sky, moving in circles, completely ignoring gravity as if it was non existent.  It disappeared, and popped up in the same place.  Moved in a circles rapidly and blinked again.  In a matter of seconds.",42.0409802259887,-93.6278186440678,09,Fall
73716,Struthers,OH,2011-07-04T23:30:00,circle,30 secs,"Occurred : 7/4/2011 23:30  (Entered as : 07/04/11 11:30) Reported: 7/4/2011 8:48:14 PM 20:48 Posted: 7/6/2011 Location: Struthers, OH Shape: Circle Duration: 30 secs Characteristics: There were lights on the object, There was an aura or haze around the object","Struthers 
 
Bright Orange light flying in the sky horizontally,  it was a steady speed and had no loud noices, disappeared into the distance...",41.052200000000006,-80.6041,07,Summer
94111,Traverse City,MI,2014-05-31T23:30:00,sphere,2 minutes,"Occurred : 5/31/2014 23:30  (Entered as : 05/31/14 23:30) Reported: 6/1/2014 9:41:40 PM 21:41 Posted: 6/4/2014 Location: Traverse City, MI Shape: Sphere Duration: 2 minutes Characteristics: There were lights on the object, There was an aura or haze around the object, The object emitted other objects","Three dark orange/red spheres over Traverse Bay, MI 
 
At about 23:30 on May 31, 2014, I was sitting on a couch in a dark room watching a fire in the fireplace; I happened to glance through a window (located on the north side of the condominium) up into the dark night sky (there was little moonlight outside,  I believe we had a waxing crescent moon) at about a 45° angle. 
 
I noticed three dark orange spheres out in the distance come into view; they were descending, traveling southward in a fairly straight-line formation toward me from a northwardly direction.  The three spheres were spaced about the same distance apart as they descended toward me.  As they descended they appeared to begin a slow sweeping arch toward a southwest direction.   
 
After about 15 seconds the second (center) sphere appeared to release three small (pin-size) spheres from directly beneath it; all three spheres fell equal distance apart for 3–5 seconds prior to totally, instantly, disappearing. 
 
The three dark orange spheres—each appearing to be slightly larger than a pencil eraser—continued their slow, sweeping southwestward descent.  As the three spheres were beginning to level off while continuing to turn (and while they were just barely north of my position) I stepped out onto the deck to get a better view.  The distance between the three spheres appeared to expand. As the sphere in front started to move in a more westward direction and began to gain altitude the middle sphere released three additional small (pin-size) spheres from directly beneath it; all three of these spheres also fell equal distance apart for 3–5 seconds prior to totally, instantly disappearing. 
 
The lead sphere began to pull away from the other two as it gained altitude as it traveled in a westward direction; the second (middle) sphere also began to gain attitude as it traveled in a westward direction.  The third (and last) sphere appeared to slow as it gained altitude while also traveling in a westward direction away from Traverse City.  I watched the three spheres until they were completely out of sight…gaining altitude as they continued traveling in a westward direction. 
 
The three spheres appeared to be fairly far away from my location; I would estimate they never got closer than Grand Traverse Bay and remained beyond the Peninsula while making their sweep from the northwardly to the westward direction. 
 
The spheres appeared to glow.  They did not have discrete/separate lights or lights that pulsated; I did not hear any type of noise come from the spheres. 
 
I observed the three main spheres for approximately two minutes.  The two sets of spheres that fell from beneath the second (center) sphere instantly disappeared after 3–5 seconds.",44.71860971428572,-85.6604109010989,05,Spring
