observed,location_details,county,state,season,latitude,longitude,date,number,classification,temperature_high,temperature_mid,temperature_low,moon_phase,summary
"I'm a Native American from Montana. I live on the Flathead Indian Reservation. About two years ago I was hunting up on your mission mountains. The spot I was hunting is called North Crow. I was driving up through there looking for deer. I was coming to this corner and out of the corner of my left eye I seen him standing close to the road but still in a little bit of trees. I knew what it was. About a mile up the road ends, I knew I had to come back down. I was so scared to go back down but I knew I had to. I was driving pretty fast back down and did not look anywhere, just eyes on the road. I did not want to see him again. Have not been up there since this story I'm about to tell you is why I'm getting a hold of you guys. My little brother and my little sister and her boyfriend went hunting above Dixon. They ran into some elk and my little brother shot one. They were siting there gutting it out when a big rock was thrown on to the road. They said the rock was big, at least a 100 pound rock. They said the rock did not roll down, it was thrown. There is a lot of people around here that have seen and heard stuff too. You can call me and I can tell you more.",Come down and I will show you exactly where,Flathead County,Montana,Fall,47.57549,-144.0265,9/16/12,36759,Class B,,,,,
"Driving up Crane mountain and saw a black creature bolt up the side of a mountain which I thought was a black bear.  When I pulled up to where I saw it I looked up to see a bipedal creature or whatever it was taking large strides up the steep incline up the hill. After 70 yards it stopped and looked at me then continued up the mountain out of sight.  It was completely covered in jet black hair, and when the sun hit its hair it shined a brass or copper color.  This happened 06/12/2019  12:35 PM",,Flathead County,Montana,Spring,47.98521,-113.9818,6/12/19,62969,Class A,77.54,64.795,52.05,0.35,Clear throughout the day.
"I used to own a horse boarding facility which was/is located about 3/4 of mile south of the West Gallatin River and about 4 miles north of Belgrade, Montana on the south side of I-90.  One night at around 11 pm I was outside just before going to bed and I heard what I thought was a very loud screams from a woman west of me toward the river.  I was ready to get in my truck and investigate the screaming but the screams were not human.  All of the horses in my boarding pens were snorting and looking west toward the river.  My Australian shepherd dog was also acting very strange; growling and his hair was standing up.  A large number of whitetail deer lived along the river and routinely came down to my place to feed on any hay left over on the ground.  They were a real nuisance. I did not see or hear anything else but I will never forget that sound and the way the horses were acting; similar to smelling a bear.  Even the next morning, Butch, my dog was continually looking toward the river and acting very wary.","Approximately 4 miles west of Belgrade, Montana and 1 mile south of I-90.  3/4 of a mile east of the West Gallatin River.",Gallatin County,Montana,Summer,45.7922,-111.3637,11/26/15,50297,Class B,20.49,12.92,5.35,0.54,Partly cloudy in the morning.
Saw very large humanoid footprints (two) in the hiking trail. The striking feature was the toe imprints -- very clear and pronounced. Photos available upon request.,One (1) mile from the Trail Creek trail head.,Gallatin County,Montana,Spring,45.61331,-110.7897,5/30/16,51959,Class B,55.02,44.135,33.25,0.8,Mostly cloudy until evening.
"I was out looking for old abandoned gold mines outside of Georgetown Lake in Montana to do some prospecting in the summer of 2010. Around 4 pm as I was traveling back down logging road 242 north of Georgetown Lake in my FJ Cruiser. A rock came flying through the trees from my right and hit my cruiser's roof top leaving a sizable dent in the roof. I saw the rock as it bounced off the roof and fly down the hillside. I immediately stopped thinking some kid or person threw a rock at my truck. As I jumped out of my truck to see who or what threw the rock from up the hillside a large dark creature disappeared up the hill and into the trees. I thought to myself ""No way, It couldn't be"". But I have the dented roof  to prove that what I believe to be a Bigfoot threw the rock.",Take Hwy 1 from Anaconda to Georgertown. Take 242 up to Racetrack Lake.,Granite County,Montana,Summer,46.30766,-113.1424,10/22/10,34024,Class B,49.72,37.735,25.75,0.48,Partly cloudy in the morning.
"It was about 3 p.m. Early in December of 2012. I was up at my cabin cutting up an elk and had to run into town to get some pork suit for hamburger. I have made it a habit to keep track of where the ranchers have their cattle near the highway so I know where the elk will or will not be. On my way back I was driving about 60 mph while scanning a ridge side and tree line where I had seen elk before when I noticed something very out of place and very dark running along the tree line. I don't know whether it was cause I was in disbelief or I was just being a good driver, but I literally did a triple take after noticing it. It was about 230 to 300 yards away and I could make it out quite well. The thing was on two legs, had very long arms that seemed to end barely above the knees, its head was positioned as if a person were sticking their neck out, and it ran while barely moving its arms. It didn't look like it was alarmed, just as if it were just going along its way heading back into the mountains. In scale to the trees I'd say it was about six a half feet tall.  I watched it for about ten seconds or so ( as much as I could without wrecking, don't know why I didn't stop) and there's no way it was anything else. I've had a few other encounters, but nothing as concrete as this. There was no way this thing was anything else.","Between WSS and Checkerboard, just west of Sutherland Lake.",Meagher County,Montana,Winter,46.59692,-110.6268,12/2/12,41782,Class B,45.69,36.905,28.12,0.63,Breezy until evening and light rain in the evening.
"I am an OTR truck driver. It was about 4:30 am near Tammany Montana near Lookout Pass. Had a very good look at a long reddish haired bigfoot standing up right on the back side of concrete barrier, long reddish brown hair. Couldn’t get a height since it was on other side of barrier. Saw the head and both arms on the barrier. Have very bright headlights on truck so got a good look. I am an avid hunter and outdoorsman. It did not have a pointy face. Eyes pointing forward. Saw it for about 5 to 10 seconds. It moved to my left extremely fast and was gone.",Heading westbound on 90 after rest area on corner with concrete barrier it was straight on before going around corner. Creek runs along road. Probably around mile marker 3-ish,Mineral County,Montana,Spring,47.43904,-115.6545,4/15/20,65664,Class A,40.18,30.455,20.73,0.79,Snow (< 1 in.) in the morning and afternoon.
"My name is ------.  I am a small animal veterinarian in western Massachusetts. On July 20, 2012 we were visiting our daughter, -----, in Missoula, Montana. We hiked up Waterworks (a ridge on the other side of I-90) around noon. We stopped to catch our breath and noticed a very large, dark unidentifiable object on the far ridge next to the power line poles.  It was unmoving..absolutely stock still for minutes(5-10?). We stood there looking at it wondering what it was.  All of a sudden it turned and took several large steps and disappeared over the ridge. We had my iPhone and by the time my daughter pushed the button he had gone over the ridge..we did get a picture of his head/shoulders. I can forward the picture to you.",The Waterworks Trail,Missoula County,Montana,Summer,46.5252,-113.5911,7/20/12,40412,Class B,82.16,66.63,51.1,0.05,Overcast in the morning.
"My family and I have been camping out on the edge of the Lolo Nat. Forest (Rattlesnake Wilderness) for the past few weeks. During the past several nights we have been having encounters with some sort of animal which we first thought was a bear. However, durring the daylight hours we have been finding many young trees literally being broken which we have numerous pictures of. We are camping in an area which is 9 miles up a dirt road near the Sheep Mountain trailhead. Several of the broken trees that we have been finding are very close to our campsite while others are up and down the road. There has not been any strong winds in this area for well over a week but yet these trees are broken several feet up from the ground which as anyone well knows, is not normal. We keep hearing something large and heavy walking through the brush and rocks have been thrown at one of our tents. We are all very much in the belief that we are being visited by a sasquach.",8.6 miles up Forest Service Rd. 2119 off of Gold Creek Rd.,Missoula County,Montana,Summer,46.93335,-113.8334,6/19/18,59607,Class B,56.92,50.39,43.86,0.24,Possible drizzle in the morning.
"Driving to Missoula early am. Seen something large and black moving very fast across mountain side. Pulled over when could. Driver looked with small pair of binoculars. Passenger tried to take cell phone photo. Object was very tall. Pure black. Moving so fast, passenger couldn't get it in focus. Driver was speachless at what he seen in binoculars. It was not a man running. Yet, it was going extremely fast up the mountain. Appeared very tall. All one color. Pure dark black from top to bottom. Driver described it as ""long black hair and long arms"". Driver is experienced hunter and outdoorsman and has never witnessed anything like this.  Passenger got blurry pixelated photo. Cell phone was all we had. Will never forget!!","It was across the river. Property on road side, by us, has  white fence bordering it. Sighting was across Flathead river. On hillside. Maybe mile 88 or close to it. Can get exact mile next time we drive by. I do have some pictures. Nothing good because I was using a cell phone. I was all the way zoomed in, and by the time I'd take the photo, the thing was out of focus. It was very fast.",Sanders County,Montana,Winter,47.25335,-114.45,12/1/17,63381,Class A,32.72,27.83,22.94,0.44,Overcast throughout the day.
"I went to visit my brother who had gotten a firefighting job up in Montana recently and on one of his days off, I wanted to go up into the secluded woods on a hike. Since he was working with the forestry service, he knew of a place that was very secluded and was extremely thick forested. We hiked about a mile and a half up into the mountains and about half way up, we crossed a little creek about 4 to 5 feet wide. I stopped and pulled out my phone to take a picture of the upstream view. I got the picture and we continued on without realizing what he had just done. Later that night I was going through the pictures of that days hike, when I came across something in one of the pictures that was extremely startling. About 45-50 feet from where I took the picture, there was a black figure that seemed to be sitting near the bank of the creek looking right as us. Curious about what I had seen, a few days later when my father arrived to visit my brother, I took him to the place I had taken the picture. Sure enough, where there had so clearly been something sitting next to the creek, there was nothing. In fact there were even freshly broken branches off trees that were no where near the spot it was sitting. I took more photos with my father sitting in where we suspected it was and there is a clear and definite difference where there was a figure sitting, nothing sitting there, and my dad sitting in the same place.",,Carbon County,Montana,Summer,45.28074,-109.5528,6/30/12,36008,Class B,81.78,68.645,55.51,0.39,Clear throughout the day.
"On November 24th, 2012, at 9:00 AM, I was elk hunting on the west facing slope of Mount Baldy, above a closed forest service road called Baldy Face Road. There was a complete trail of these bi-pedal tracks leading around the face of the mountain. I've taken a picture of a track with my boot next to it as a point of reference as to the size of the track. My boot measures exactly one foot, and four and half inches wide, and my average step is about three feet. I am six foot and one inches and had to leap to reach each track. I'm guessing it had a rough estimate of a five foot step, which were heading north, north east up the mountain. I know it wasn't a snowshoe because snow shoes are so long that they overlap themselves, and have a hinged claw in the middle for traction which these tracks showed no sign of. Each step was long and clean, bearing no signs of drag. I guessed the tracks to be about 4-5 days old. I side hilled the mountain heading south, then down to the road back north, only to see my tracks being the only ones up off the road since it snowed. I've never crossed another person's tracks up there before, since its a pretty secluded area that has hidden lakes for the willing hiker. But never a track like this one ever. A hoaxer wouldn't place them so far away from where people go as they would never be discovered. This place is literally the middle of nowhere .",,Broadwater County,Montana,Winter,46.48392,-111.2644,11/24/12,37974,Class B,36.61,30.65,24.69,0.38,Clear throughout the day.
"Took a pic of a huge foot print in the mud. [Editors note: this witness felt he knew what had made the print, because he had seen a sasquatch in 2000, more on his sighting below in the Investigator's follow-up]",It was about five hundred yard from a high mountain lake,Beaverhead County,Montana,Fall,45.3705,-112.9707,6/24/12,40524,Class A,79.6,61.865,44.13,0.17,Clear throughout the day.
We were camping in the Davidson river camp ground on a tent site a bit further up from the river. It was about 1 am or so the night of sep 10 morning of sep 11. We both had to use the restroom . We unzipped the tent and went outside. We heard some rustling from behind our tent as we turned around to look there was a Bigfoot just standing there looking at us and we were looking back at him. He was right beside a pine tree and where he came on the tree he had to be 8 or 9 feet tall. The moonlight came through the thick Forrest to cast just enough light on him. He or she was albino. The fur was completely white. I couldn't tell you what color the eyes were. My daughter and I both looked at this creature and didn't say a word . We simply got back into our tent and started to ask each other questions to see if we both saw what we think we saw. Our stories matched.  Needless to say we stayed awake all night and didn't dare use the restroom. We did  hear more rustling and dogs barking in the distance for the rest of the night.,Pisgah national forest Davidson river campground,Transylvania County,North Carolina,Fall,35.1685,-82.488,9/10/11,58022,Class A,80.38,65.44,50.5,0.46,Clear throughout the day.
"Early on the morning of 10/13/2015 while driving through North Carolina I saw the unexplainable and it blew me away. At approximately 12:30am I was driving south on I95 near exit 2 or 3 just a few miles from the South Carolina border with a tractor trailer approximately 400-500 yards in front of me. I had been following this truck for awhile when it looked like something had either been hit by the truck, kicked up or maybe a deer crossed behind the truck. In quick order, first the right taillight then the reflective material in the middle then the left tail light went dark and came back on. Instantly I cancelled the cruise control, steered my vehicle to straddle the center line thinking I would either have to avoid some debris in the road or avoid a deer that could be standing in the road and leaned towards the windshield to get a better look. As I approached the spot where this happened there was nothing in the road, but standing on the median side of the road was for lack of better understanding a Bigfoot! It was hairy from head to toe and huge. At least 7' tall. As I got closer it took two huge steps and went down the side of the embankment into the median. I was literally no more then 10-15' away from it when passing it. I was able to hit the high beams as it took the second step. This entire scenario played out in probably 10 seconds or so. I can not come up with a reasonable explanation for what I saw. It was not a man, no clothing and hairy plus the stride length was insane. I'm 6' 4"" and no way I could have a stride that long. It was not a bear, it was standing on two legs and had arms and hands. This thing was nearly impossible to see even with the head lights on high beam it was so black. The only reasonable explanation I could come up with it was some nut job in a ghillie suit playing frogger. However the two steps it took were much longer then any man could make.",I'm not sure if it was just prior to exit 3 or 2.  I was kind of in a state of shock and was not really concerned with that at the moment.,Robeson County,North Carolina,Fall,34.5287,-79.26708,10/13/15,49977,Class A,78.71,68.08,57.45,0.02,Mostly cloudy in the afternoon.
"I want to report a sighting of a huge Bigfoot. As my husband and I often do, we were taking a short cut across the mountain here in western NC, heading home. As I was driving along the river, there was a very strange looking, what I thought was an odd looking man, and as we passed it, I said to my husband, "" That is a strange looking person,"" and as I looked into the rear view mirror, it stood up on the road and was watching us driving away, and that is when I realized what it really was. I told my husband that it is a Bigfoot!!! In a panic I drove away and my husband insisted that we turn around and go back. I was in tears from the fear, but we found an area to turn around and I do so.  As we approached that area, we saw it on the side of the road watching us. He was HUGE!!!! My husband got out of the car to get a better look and he couldn't believe what we were looking at. It had to be at least 8-9 feet tall, covered in long black hair all over it's body. It was massive. We were about 100 yards away and nothing was obstructing our view. I yelled at my husband to get back into the car and I managed to turn my jeep around and I got the heck out of there!!",Needmore Road is off of highway 74 West. Travel SW on Needmore road to the location,Swain County,North Carolina,Winter,35.33783,-83.52992,1/31/20,64024,Class A,45.65,40.155,34.66,0.22,Possible light rain in the morning and afternoon.
I saw a bigfoot and I have pictures of its foot prints,"Take rte 421, east of Wilkesboro, N.C. to rte 115 South, Take  2504 South to Cherry grove Rd.",Wilkes County,North Carolina,Winter,36.0055,-81.08335,11/18/19,67749,Class A,46.25,42.13,38.01,0.72,Light rain in the morning and afternoon.
"It was mid august of 2012, me and my wife was driving around that night like we did a lot, on our way back to the house we rounded a curve on Ridge Rd in Seagrove NC when my headlights landed on a dark brown/black creature on 2 legs walking into the tree line, the creature had to be at least 7 1/2 ft tall and I would guess about 500+lbs by the width, it was a fast visual. But me and my wife both saw it. I have seen my father-in-law on the side of the road a few time he stands 6ft 4in and the creature I saw was more then a foot taller and a lot wider.","I was coming from Seagrove city limits on Ridge Rd. It was about a mile from city limits in a patch were there are woods on both sides of the road, right as you round a curve.",Randolph County,North Carolina,Summer,35.56577,-79.75537,8/17/12,42580,Class B,88.12,76.49,64.86,0.99,"Partly cloudy starting in the afternoon, continuing until evening."
"October 2011 we found footprints leading away from our outdoors fire pit. Something had stepped in wet ashes after a big storm. We could see where it had tried to wipe ash off on rocks and then took long strides across the yard. Several years later (year not recalled) on a camping trip near same area. At about 7pm I heard heavy footfalls, a knock in a pattern of 5 or 6 knocks. Then about 100 yards away from that I heard another commotion and more heavy footfalls running toward the 1st. It sounded like the 2 animals met and a flock of turkeys sleeping in a thicker was just anihilated. The attack lasted 15 seconds with the turkeys screeching and flapping loudly. Later that night I heard the same knocking pattern and then an answer in the far distance with the same pattern. A few years later back at my home. During a break in a huge storm at about 2 am I heard something trying to climb over wire fence in my back yard. My son and I went out with guns as we've had some vandalism incidents. On the back porch, the fence was still shaking and we heard footsteps crashing to our left. I yelled out for whoever it might be to leave us alone. I announced we were armed. Then we heard a loud crack like a rifle shot from the direction of the footsteps. At this time we were really afraid and I emptied my shotgun toward the crack sound. There were several more pops and I pushed my son and now awake wife back in the house and then emptied my 22 rifle also. As my son handed me the shotgun he'd reloaded... the cracking increased and I realized something was pushing a huge tree over and the cracks were the splitting of wood. The tree crashed to the ground literally shaking the whole house. My family pushed their way back outside, terrified. And we all heard loud footfalls running away from the fallen tree.","Near the Green River gamelands in Polk County, NC and right at Lake Adger.",Polk County,North Carolina,Fall,35.28195,-82.39165,10/4/11,67582,Class B,72.74,59.26,45.78,0.28,Clear throughout the day.
"Shortly after laying down for the night during a backpacking trip in the Nantahala Wilderness, we heard a howl that lasted 10-15 seconds, with a change of tone for the last few seconds. This howl could not have been mistaken for any other animal and sounded very similar to recordings of other howls. In the next 2 hours we both heard random whoops also.  The next day while hiking we came across several very interesting signs along the trail. The first was spotting what looked like a game trail that crossed the hiking trail. Upon closer inspection, the tracks in the well traveled trail clearly were not made by bear or any other four legged animal.  The footprints on the trail had left deep impressions where the heel contacted the ground and footprints much larger than my foot were also seen.  The distance between the tracks was approximately 5 feet on average and the depth of the tracks where the heel had sunk down was 3 plus inches.   The ferns and weeds in the trail that had been pressed down were still green and flat which made me think the tracks had been made within the past couple of days. I followed the trail in both directions for approximately 150 yards and the footprints remained consistent in both directions.  After traveling the hiking trail further down the ridgeline for close to mile I spotted another trail that crossed the hiking trail. The footprints here were identical to what we saw at the first trail. I took pictures to gauge the depth and length of the prints.  I found a stick on this trail that had blood on it.  I regret not keeping it for evidence to see what type of blood it was.  The location of both trails had some similarities: both were located in gaps along the ridgeline and there was an unusually high amount of limbs and trees wedged in tree forks at both sites.  One other strange observation made along the trail was finding 3 large white mushrooms placed upside down near the trails. One of these was on a rock and another was found on the trail while following the footprints.  The area where we found these signs was the direction where we had heard the howl the night before.",The tracks and trails were on the lower ridge trail 2-3 miles from Standing Indian campground.,Macon County,North Carolina,Summer,30.0326,-83.52959,6/29/15,49148,Class B,82.8,81.985,81.17,0.41,Humid throughout the day and breezy in the morning.
